gameId,gameDate,season,teamId,opponentTeamId,teamCity,teamName,opponentTeamCity,opponentTeamName,home,win,teamScore,opponentScore,point_diff,assists,reboundsTotal,steals,blocks,turnovers,fieldGoalsPercentage,threePointersPercentage,pointsInThePaint,pointsFastBreak,benchPoints,days_rest,is_back_to_back,month,season_part,streak,win_pct_ewm,h2h_win_pct,teamScore_ewm,assists_ewm,reboundsTotal_ewm,steals_ewm,blocks_ewm,turnovers_ewm,fieldGoalsPercentage_ewm,threePointersPercentage_ewm,pointsInThePaint_ewm,pointsFastBreak_ewm,benchPoints_ewm,efg_pct_ewm,ts_pct_ewm,tov_rate_ewm,pace_ewm,opp_score_ewm,opp_assists_ewm,opp_rebounds_ewm,opp_fg_pct_ewm,opp_win_pct_ewm
12500043,2025-10-09 22:30:00,2026,15018,1610612746,Guangzhou,Loong-Lions,LA,Clippers,0,0,95,142,-47,19.0,25.0,7.0,1.0,21.0,0.378,0.405,14.0,7.0,36.0,3.0,0,10,early,-1,0.0,0.5,88.0,19.0,30.0,12.0,2.0,20.0,0.377,0.324,20.0,5.0,34.0,0.44805194805194803,0.5025125628140703,0.2050020500205002,97.56,110.58048329330572,26.4837827949858,39.61923019629604,0.4960885826545704,0.5233969879186428
12500055,2025-10-13 20:00:00,2026,15018,1610612750,Guangzhou,Loong-Lions,Minnesota,Timberwolves,0,0,74,134,-60,11.0,25.0,10.0,5.0,18.0,0.333,0.161,34.0,9.0,36.0,3.0,0,10,early,-2,0.0,0.5,91.85000000000001,19.0,27.25,9.25,1.45,20.549999999999997,0.37755,0.36855,16.7,6.1,35.1,0.46547472797472794,0.5257292771195426,0.20526462113936209,100.11200000000001,113.67453863639255,24.711571008719883,44.225725628182474,0.45949681243886986,0.3607570458993143
11900026,2019-10-09 19:30:00,2020,1610612737,1610612753,Atlanta,Hawks,Orlando,Magic,1,0,88,97,-9,21.0,52.0,11.0,5.0,27.0,0.338,0.275,0.0,0.0,0.0,2.0,0,10,early,-1,0.0,0.5,109.0,26.0,44.0,5.0,9.0,29.0,0.46,0.341,0.0,0.0,0.0,0.5402298850574713,0.558630586305863,0.24668254508336168,117.56,119.49999999999999,30.650000000000002,52.5,0.48695,1.0
11900053,2019-10-14 19:30:00,2020,1610612737,1610612748,Atlanta,Hawks,Miami,Heat,0,0,87,120,-33,18.0,40.0,7.0,3.0,26.0,0.41,0.258,0.0,0.0,0.0,5.0,0,10,early,-2,0.0,0.5,97.45,23.25,48.4,8.299999999999999,6.8,27.900000000000002,0.3929,0.3047,0.0,0.0,0.0,0.46654094827586207,0.5135154796088689,0.2481009414470401,112.478,107.55,23.9,45.7,0.4731,1.0
11900063,2019-10-16 20:00:00,2020,1610612737,1610612752,Atlanta,Hawks,New York,Knicks,0,1,100,96,4,23.0,58.0,9.0,4.0,12.0,0.367,0.294,0.0,0.0,0.0,2.0,0,10,early,-3,0.0,0.5,93.24916943521595,21.13953488372093,45.02325581395349,7.777408637873753,5.2724252491694354,27.136212624584722,0.39977408637873757,0.28592691029900336,0.0,0.0,0.0,0.4645299818465416,0.505527690696771,0.24414888578656987,111.12810631229236,101.25,22.8,53.35,0.4026,0.44999999999999996
11900070,2019-10-17 20:00:00,2020,1610612737,1610612741,Atlanta,Hawks,Chicago,Bulls,0,0,93,111,-18,25.0,42.0,4.0,2.0,17.0,0.418,0.4,0.0,0.0,0.0,1.0,1,10,early,1,0.32945544554455447,0.5,95.47326732673268,21.752475247524753,49.29851485148515,8.18019801980198,4.853217821782178,22.149504950495054,0.3889764851485149,0.28858663366336634,0.0,0.0,0.0,0.4493214503954929,0.49195778029057596,0.20184412314894645,108.67428712871288,105.8220297029703,25.0509900990099,50.203217821782175,0.40884356435643565,0.32945544554455447
21900014,2019-10-24 19:00:00,2020,1610612737,1610612765,Atlanta,Hawks,Detroit,Pistons,0,1,117,100,17,27.0,42.0,9.0,2.0,13.0,0.512,0.355,0.0,0.0,0.0,6.0,0,10,early,-1,0.23487774749514714,0.5,94.76325954393052,22.684751279386678,47.20330973902473,6.980176859277269,4.034136585557146,20.67122213289936,0.397308346895159,0.3205703809729221,0.0,0.0,0.0,0.462052967185312,0.4927999551141714,0.19223849352029368,106.45972510342935,109.11760636067478,25.15078702061091,45.362214946940625,0.4567820807663774,0.7308970099667774
21900028,2019-10-26 19:30:00,2020,1610612737,1610612753,Atlanta,Hawks,Orlando,Magic,1,1,103,99,4,22.0,52.0,5.0,9.0,18.0,0.512,0.3,0.0,0.0,0.0,2.0,0,10,early,1,0.4336064251846595,0.0,100.53890913782537,23.80557042866819,45.85183046801923,7.504794697287359,3.505801051511144,18.67874076702255,0.42709773086475505,0.32951294229590683,0.0,0.0,0.0,0.49154022145774356,0.5243415361014018,0.17599216376884538,104.8442476534529,96.70110380692539,23.199654901367655,44.666172295511174,0.4113878884416849,0.509571617691324
21900043,2019-10-28 19:30:00,2020,1610612737,1610612755,Atlanta,Hawks,Philadelphia,76ers,1,0,103,105,-2,23.0,45.0,12.0,3.0,21.0,0.429,0.333,0.0,0.0,0.0,2.0,0,10,early,2,0.5700845241380661,0.5,101.13193317121188,23.370500486867634,47.33329234731678,6.901239795263967,4.829682290817279,18.515191507842456,0.4475557671201743,0.32240150876599766,0.0,0.0,0.0,0.5093558199118847,0.5349657284481599,0.17713207913011758,103.58059463546545,108.56574041221816,26.426068444989195,51.02075283037126,0.45804653259362,0.8261281166338741
21900052,2019-10-29 19:30:00,2020,1610612737,1610612748,Atlanta,Hawks,Miami,Heat,0,0,97,112,-15,28.0,33.0,14.0,7.0,20.0,0.422,0.282,0.0,0.0,0.0,1.0,1,10,early,-1,0.440387547503925,0.0,101.55692737748447,23.2862098405624,46.802457093530315,8.0612323141568,4.413420751918603,19.080497414777795,0.44333424067503446,0.32481271659875166,0.0,0.0,0.0,0.5031647397352449,0.5327170338723178,0.17984413124981727,105.28674549757591,118.2946292078741,25.80042262032071,47.14588197358553,0.48488707792838526,0.6478888597283463
21900066,2019-10-31 19:00:00,2020,1610612737,1610612748,Atlanta,Hawks,Miami,Heat,1,0,97,106,-9,20.0,50.0,5.0,5.0,16.0,0.409,0.206,0.0,0.0,0.0,1.0,1,10,early,-2,0.34457462820652807,0.0,100.56549944647757,24.31176562362421,43.79952543684804,9.353300339773742,4.9761698808560775,19.2805490000031,0.4386926564802631,0.31549816766650246,0.0,0.0,0.0,0.4998549379872909,0.5295986509048571,0.18233168337436745,105.12863110922943,116.92513816817636,24.320888633944374,47.5492731726319,0.4777320006303572,0.7244959219801729
21900099,2019-11-05 19:30:00,2020,1610612737,1610612759,Atlanta,Hawks,San Antonio,Spurs,1,1,108,100,8,22.0,48.0,9.0,5.0,18.0,0.478,0.367,0.0,0.0,0.0,5.0,0,11,early,-3,0.2721946032523384,0.5,99.81654430647372,23.406052672386597,45.10197334470667,8.438862765347778,4.981175544294723,18.591449457998085,0.4324555309316302,0.2924974024929587,0.0,0.0,0.0,0.4891439007203374,0.5208041547384106,0.1778300458441191,103.93369907437739,109.98730342500542,23.03524586341396,49.17664338458055,0.45209655569374335,0.5569060637391455
21900105,2019-11-06 19:30:00,2020,1610612737,1610612741,Atlanta,Hawks,Chicago,Bulls,1,0,93,113,-20,18.0,41.0,7.0,3.0,24.0,0.405,0.2,0.0,0.0,0.0,1.0,1,11,early,1,0.4208761468272064,0.0,101.48832199557471,23.118813689806633,45.69400395942265,8.553496087082204,4.985021145253063,18.47062372799575,0.44175969656799857,0.3077173517365126,0.0,0.0,0.0,0.49930617989422776,0.5280905593375438,0.17617883480549526,104.3639900206306,105.78066470566426,23.74047526877927,42.539435046622316,0.43631987246641635,0.26192648022943105
