gameId,gameDate,season,teamId,opponentTeamId,teamCity,teamName,opponentTeamCity,opponentTeamName,home,win,teamScore,opponentScore,point_diff,assists,reboundsTotal,steals,blocks,turnovers,fieldGoalsPercentage,threePointersPercentage,pointsInThePaint,pointsFastBreak,benchPoints,days_rest,is_back_to_back,month,season_part,streak,win_pct_ewm,h2h_win_pct,teamScore_ewm,assists_ewm,reboundsTotal_ewm,steals_ewm,blocks_ewm,turnovers_ewm,fieldGoalsPercentage_ewm,threePointersPercentage_ewm,pointsInThePaint_ewm,pointsFastBreak_ewm,benchPoints_ewm,efg_pct_ewm,ts_pct_ewm,tov_rate_ewm,pace_ewm,opp_score_ewm,opp_assists_ewm,opp_rebounds_ewm,opp_fg_pct_ewm,opp_win_pct_ewm,top5_points_avg,top5_assists_avg,top5_rebounds_avg,top5_plusminus_avg,star_points_max
22200370,2022-12-07 20:00:00,2023,1610612754,1610612750,Indiana,Pacers,Minnesota,Timberwolves,0,0,115,121,-6,22.0,31.0,10.0,4.0,19.0,0.481,0.452,0.0,0.0,0.0,1.0,1,12,mid,1,0.4807895448295431,0.0,112.06110756187552,26.14871710587606,43.05219864420039,8.628648010122536,6.167051042213031,15.387291431401808,0.4434421011301547,0.340013019948147,0.0,0.0,0.0,0.5148737824157383,0.5493430724613104,0.1430736820592273,107.64847042564358,116.91109436211345,25.553888187311813,40.29693650858312,0.4906700924022119,0.4165453983641148,14.546021536310622,4.118567290167901,4.645124951496987,-4.5109997934457216,17.26838318907986
22200378,2022-12-09 19:00:00,2023,1610612754,1610612764,Indiana,Pacers,Washington,Wizards,1,1,121,111,10,23.0,40.0,7.0,2.0,12.0,0.506,0.439,0.0,0.0,0.0,1.0,1,12,mid,-1,0.3933732639514443,0.2,112.59545164153452,25.394404904807683,40.86088979980032,8.877984735554802,5.773041761810662,16.044147534783296,0.4502708100155811,0.3603742890484839,0.0,0.0,0.0,0.5301268096308341,0.5636449674639762,0.1494790677399683,107.4505667118902,114.65388706400267,24.153406798088987,43.874709855837416,0.4759578322365126,0.2224403129643318,14.905207294750715,4.191298450200142,4.954553271049404,-5.432933734363888,16.772520656379843
22200388,2022-12-10 19:00:00,2023,1610612754,1610612751,Indiana,Pacers,Brooklyn,Nets,1,0,133,136,-3,30.0,30.0,10.0,3.0,19.0,0.553,0.477,0.0,0.0,0.0,1.0,1,12,mid,1,0.5036690341420909,0.4,114.1235513430737,24.95905855847901,40.704364381654806,8.536532965453928,5.087034168754177,15.308847983004512,0.4604033900127482,0.3746698728578504,0.0,0.0,0.0,0.5449700634947466,0.5784348532012877,0.1458120272104443,104.78682730972837,112.71952375126268,26.7490564496996,39.764395730261754,0.5166504089498587,0.7512724335293399,15.35529822478512,4.226652185343538,4.9804080308234235,-4.8939762049430096,17.250978718919804
22200402,2022-12-12 19:00:00,2023,1610612754,1610612748,Indiana,Pacers,Miami,Heat,1,0,82,87,-5,16.0,45.0,7.0,11.0,18.0,0.354,0.282,0.0,0.0,0.0,2.0,0,12,mid,-1,0.4120928461162561,0.2,117.55563291706032,25.875593366028284,38.75811631226302,8.802617880825942,4.707573410798872,15.979966531549149,0.4772391372831576,0.3932753505200595,0.0,0.0,0.0,0.5688792498112099,0.5997917644766121,0.151418130109874,105.29104052614136,108.22421768122992,23.5014049994977,40.85756930154115,0.4621800017090414,0.4150080343204911,15.67688677869739,4.213352090277128,4.8913909948682415,-4.688264734828177,17.50065247927987
22200415,2022-12-14 19:00:00,2023,1610612754,1610612744,Indiana,Pacers,Golden State,Warriors,1,1,125,119,6,30.0,34.0,10.0,8.0,18.0,0.506,0.41,0.0,0.0,0.0,2.0,0,12,mid,-2,0.3371668740951185,0.4,111.0909723866857,24.08003093584132,39.89300425548793,8.474869175221224,5.8516509724718055,16.347245343994757,0.4548320214134926,0.3730434686073214,0.0,0.0,0.0,0.542546774011243,0.5756424231615437,0.1573510300452789,103.92903315775204,117.2417505679692,28.286540773022686,44.05360287660529,0.4682524236991089,0.4745692603528706,16.37350466288168,4.292257692532141,4.797604621058422,-3.521064383575574,19.833768319519912
22200431,2022-12-16 19:30:00,2023,1610612754,1610612739,Indiana,Pacers,Cleveland,Cavaliers,0,0,112,118,-6,34.0,33.0,6.0,4.0,10.0,0.525,0.306,0.0,0.0,0.0,2.0,0,12,mid,1,0.4576819878960061,0.0,113.6198864981974,25.156388947506535,38.821548936308304,8.752165688817366,6.242259886567841,16.647746190541167,0.464135290247403,0.3797628379514448,0.0,0.0,0.0,0.552574842268342,0.5869356375032296,0.1582257813392577,105.21466349270622,105.5619577559825,22.691446592364656,42.18899376111149,0.4803244862882483,0.5899666742529805,16.7064244535868,4.260332093984343,5.007563317431009,-1.2458747513725064,19.657352097429957
22200446,2022-12-18 17:00:00,2023,1610612754,1610612752,Indiana,Pacers,New York,Knicks,1,0,106,109,-3,20.0,44.0,5.0,3.0,15.0,0.433,0.342,0.0,0.0,0.0,1.0,1,12,mid,-1,0.3744670810058231,0.2,113.32536168034332,26.764318229778073,37.763085493343155,8.251771927214207,5.834576270828234,15.439065064988228,0.4752016011115115,0.3663514128693639,0.0,0.0,0.0,0.5600612345831889,0.5954511465163879,0.1489324126669957,103.059270130396,115.12387943723272,22.1198833855823,49.72856918258176,0.4474724997010474,0.7941960145679142,16.857601402624017,4.026880989587257,4.83170769487195,-0.0705866187431591,20.45654732422209
22200469,2022-12-21 19:30:00,2023,1610612754,1610612738,Indiana,Pacers,Boston,Celtics,0,1,117,112,5,27.0,47.0,10.0,3.0,14.0,0.469,0.462,0.0,0.0,0.0,3.0,0,12,mid,-2,0.3063821571865825,0.2,111.99347773846272,25.53444218800024,38.89706994909895,7.660540667720715,5.319198767041282,15.359235053172185,0.4675285827276003,0.3619238832567523,0.0,0.0,0.0,0.5501511111236193,0.583435440292546,0.1483013554799222,103.07031192486946,110.11412860645258,23.976846995254164,45.23187555077842,0.4393307044191484,0.436457351344806,16.459031040809005,3.846342304178907,4.5551393231526855,0.3476536840852427,20.747042465042938
22200486,2022-12-23 20:00:00,2023,1610612754,1610612748,Indiana,Pacers,Miami,Heat,0,1,111,108,3,26.0,43.0,5.0,6.0,16.0,0.482,0.447,0.0,0.0,0.0,2.0,0,12,mid,1,0.4324944922435675,0.2,112.90375451328768,25.800907244727473,40.370329958353686,8.085896909953313,4.897526263942867,15.112101407140878,0.4677961131407639,0.3801195408464337,0.0,0.0,0.0,0.5521644527004009,0.5816752536021719,0.145822414426208,103.23207339307504,106.47268150994994,23.982554990750376,39.957570022456885,0.459085252006614,0.603695782196886,15.872688341242656,3.664226330570699,4.486759079918534,0.38176991889198925,18.998028310028623
22200502,2022-12-26 20:00:00,2023,1610612754,1610612740,Indiana,Pacers,New Orleans,Pelicans,0,0,93,113,-20,23.0,36.0,9.0,5.0,13.0,0.422,0.257,0.0,0.0,0.0,3.0,0,12,mid,2,0.5356773118356463,0.2,112.55761732905354,25.837105927504297,40.84845178410756,7.524824744507255,5.097976034135073,15.273537514933446,0.4703786380242614,0.3922796243289003,0.0,0.0,0.0,0.5623952312893751,0.5890936523721674,0.1495618574544485,101.94624186706136,120.94916580923196,27.230685584677968,46.18813943987523,0.4773516541953122,0.5994074745179998,15.062386098551617,3.75132356664196,4.189699614282735,0.16659556198725517,20.311795908117436
